"date","timestep","bob_eta","sm_eta"
2024-09-25,73,-0.0302926337214888,-0.0345110342361874
2024-09-25,74,-0.0353035119868705,-0.0401111457240209
2024-09-25,75,-0.0373288771774085,-0.0433605435818052
2024-09-25,76,-0.026991786383439,-0.0345164696519724
2024-09-25,77,-0.018634669740444,-0.0251540643533001
2024-09-25,78,-0.0221701353929769,-0.0303269556829013
2024-09-25,79,-0.0138592105768267,-0.0217083868392001
2024-09-25,80,-0.00502412938266117,-0.013642951090532
2024-09-25,81,-0.0136916986954763,-0.0233694751003122
2024-09-25,82,-0.00188335395772832,-0.00987085456244152
2024-09-25,83,-0.00656738366650966,-0.014954608052137
2024-09-25,84,-0.0121307914749975,-0.0107578024986434
2024-09-25,85,-0.028088702870086,-0.0273588433755223
2024-09-25,86,-0.0248892497028055,-0.0230811499357633
2024-09-25,87,-0.0320899331528155,-0.0306319455407613
2024-09-25,88,-0.0135951222033777,-0.0107235322391013
2024-09-25,89,-0.0379407590490621,-0.0361112398215542
2024-09-25,90,-0.0261128363797534,-0.0246223854115732
2024-09-25,91,-0.0356247941028744,-0.0327492025509737
2024-09-25,92,-0.0111446051620749,-0.00758002540263147
2024-09-25,93,-0.0229266389040492,-0.0215045523876563
2024-09-25,94,-0.0207594091197221,-0.0187054274173715
2024-09-25,95,-0.0279440014898658,-0.0269232645169533
2024-09-25,96,-0.0199398334951044,-0.0179303363619052
2024-09-25,97,-0.023698664917466,-0.0227802306975735
2024-09-25,98,-0.0196330321991502,-0.0176940660936533
2024-09-25,99,-0.0161186917975424,-0.0146243255869405
2024-09-25,100,-0.0379648443569014,-0.037553115017384
2024-09-25,101,-0.00780737373080953,-0.00564379935443515
2024-09-25,102,-0.0216213520662469,-0.020962833728392
2024-09-25,103,-0.00642594732528856,-0.00477690096478778
2024-09-25,104,-0.0151873834709866,-0.0132241726877282
2024-09-25,105,-0.0146210227266774,-0.0134549544319693
2024-09-25,106,0.0112554055413501,0.0120286042546267
2024-09-25,107,-0.0120011862772795,-0.0099012781447092
2024-09-25,108,-0.00548189233794805,-0.00519713456010695
2024-09-25,109,-0.00317026223685435,-0.000487113119825189
2024-09-25,110,-0.015443029241057,-0.0156643530822853
2024-09-25,111,-0.0140354955603517,-0.0121592331309071
2024-09-25,112,0.00860274164322128,0.00899715941706525
2024-09-25,113,-0.00763671429362311,-0.00665850369140664
2024-09-25,114,0.00819267350512831,0.00883248516740753
2024-09-25,115,-0.0165198688370367,-0.0170955572780418
2024-09-25,116,0.00385608880082433,0.00507236735239758
2024-09-25,117,-0.012916921394253,-0.0146659877264579
2024-09-25,118,0.0117852635727109,0.0121727012100692
2024-09-25,119,0.00145593589413195,0.000300858434196805
2024-09-25,120,-0.00467453768061521,-0.00514126235690071
2024-09-25,121,-0.00921585964471117,-0.0107782652328332
2024-09-25,122,-0.00118706961269943,-0.00138618050122563
2024-09-25,123,0.00259830350464796,0.00157754833274648
2024-09-25,124,-0.000831863992552861,-0.00107590207993802
2024-09-25,125,0.0133204744692632,0.0126143966590471
2024-09-25,126,0.00528080042648327,0.00451836947082462
2024-09-25,127,-0.00504880760061965,-0.00582016742520608
2024-09-25,128,0.0025319352247255,0.000590304585400325
