"date","parameter","bob_mean","bob_median","bob_lower","bob_upper","bob_Rhat","sm_mean","sm_median","sm_lower","sm_upper","sm_Rhat"
2024-09-08,"ER",-7.65621258983733,-7.64699633411743,-9.36133385632579,-5.98870183080051,0.999191426122655,-7.76037054257156,-7.74861520136191,-9.70370776763578,-5.90388177056528,0.999796959316932
2024-09-09,"ER",-7.9136529689155,-7.87631483846196,-9.65517845718249,-6.28936136220977,0.999586027752456,-8.01057455278635,-7.9681915880285,-10.0812731403871,-6.02766270284302,0.999705349522428
2024-09-10,"ER",-9.98813217588102,-9.97648764403464,-12.3370145826212,-7.85450269346351,0.999519670901777,-9.69853901325521,-9.65903844050861,-12.4049314486673,-7.24181330888494,0.999624849808863
2024-09-11,"ER",-6.64248656951651,-6.65153590994574,-8.35968147884764,-4.92429564955661,0.999656843867428,-5.75947664891632,-5.7448057450647,-7.56567180417599,-3.94491365796657,0.999513631473836
2024-09-12,"ER",-8.11280763260045,-8.11294236790767,-9.86981531603862,-6.43534892454814,0.999214881103299,-8.60992126672228,-8.60699474044365,-10.6076647296604,-6.67981357672854,0.999800185910549
2024-09-13,"ER",-9.44273404885452,-9.43647844317976,-11.6988825262668,-7.36995924480876,0.999566226928856,-10.8787217895283,-10.8308122195406,-13.7663850930021,-8.13054203258931,0.999308827384092
2024-09-14,"ER",-10.2811733618622,-10.265544167079,-12.5326038635422,-8.10672370994785,0.9995289899463,-11.2292026340417,-11.1957934416774,-14.1654237779448,-8.4072263171982,0.999337919850571
2024-09-15,"ER",-11.1402515991725,-11.1288368640709,-13.4344497217949,-8.92523939015112,0.999504954154077,-11.801260380919,-11.7690651974041,-14.7780740927927,-9.05750720090622,0.999994961872786
2024-09-16,"ER",-8.3463466840656,-8.3452701739553,-10.0007783579853,-6.70336899924607,1.00005695185214,-8.68134710962754,-8.67131276569615,-10.6422670321288,-6.75456577419047,0.999178865333482
2024-09-17,"ER",-7.27020289613493,-7.26097073221661,-9.02684412667773,-5.55582040433283,0.999517147081378,-7.20231897912875,-7.18736831373462,-9.17580430634678,-5.33103988141432,0.999605060701942
2024-09-18,"ER",-8.79788898148993,-8.74059329975172,-11.7095525181644,-6.31639967169341,0.999314573423247,-9.12011550518041,-9.02517746676503,-12.6669069525907,-6.16540470927033,0.999977778899181
2024-09-19,"ER",-9.89974561797271,-9.88167767220498,-11.7423546532778,-8.12336257468445,0.999946502150537,-10.3738695598473,-10.3716499961242,-12.5144318038507,-8.23454215967822,0.999088845421967
